PickupDate,fhvrides,Yellowrides,Greenrides
2015-06-09T00:00:00.0000000,134255,409188,45376
2016-06-12T00:00:00.0000000,336850,329144,48480
2017-08-10T00:00:00.0000000,514758,306138,28290
2015-04-24T00:00:00.0000000,162279,474068,65736
2015-09-17T00:00:00.0000000,245776,410912,49964
2015-07-13T00:00:00.0000000,123601,350162,39975
2016-11-08T00:00:00.0000000,365860,318981,30389
2016-09-14T00:00:00.0000000,390128,354721,36819
2017-09-30T00:00:00.0000000,642102,323214,36800
2018-06-01T00:00:00.0000000,777137,320596,28152
2018-08-11T00:00:00.0000000,807873,232110,22474
2015-07-08T00:00:00.0000000,136981,393186,44912
2016-07-30T00:00:00.0000000,425628,343574,56753
2017-02-12T00:00:00.0000000,522867,326156,37471
2018-05-06T00:00:00.0000000,684919,280034,24016
2015-03-15T00:00:00.0000000,93785,418778,60306
2016-03-01T00:00:00.0000000,287685,372868,45349
2018-05-20T00:00:00.0000000,680900,267279,23424
2017-11-27T00:00:00.0000000,524416,277655,24955
2016-06-29T00:00:00.0000000,344952,357125,38168
2016-01-07T00:00:00.0000000,272341,364894,42811
2017-08-18T00:00:00.0000000,585993,287746,30629
2016-12-07T00:00:00.0000000,444520,361705,36563
2016-01-15T00:00:00.0000000,318552,401289,52719
2016-10-28T00:00:00.0000000,494333,387361,46910
2016-08-14T00:00:00.0000000,365238,287668,45042
2018-03-01T00:00:00.0000000,719438,332848,29476
2016-04-07T00:00:00.0000000,358666,409679,48454
2016-04-25T00:00:00.0000000,281621,333122,37857
2015-10-10T00:00:00.0000000,289144,432672,63203
2018-03-24T00:00:00.0000000,788342,310631,31202
2015-05-17T00:00:00.0000000,137515,423198,61746
2017-10-09T00:00:00.0000000,493326,258585,22625
2015-10-16T00:00:00.0000000,308159,430414,58548
2016-01-14T00:00:00.0000000,308592,396473,45846
2017-07-29T00:00:00.0000000,575260,274531,34925
2018-10-22T00:00:00.0000000,676075,268980,21442
